[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-7,-1094,0,,,,,,
2,1,2406,-1132,0,,,,,,
3,0,873,-1093,0,,,,,,
4,1,845,2,0,,,,,,
5,1,1123,-1992,0,,,,,,
6,0,1305,-1090,0,,,,,,
7,1,1038,11,0,,,,,,
8,1,1299,-1990,0,,,,,,
9,0,1660,-1089,0,,,,,,
10,1,1149,-10,0,,,,,,
11,1,1389,-1987,0,,,,,,
12,3,483,-1093,0,,,,,,
13,1,753,-6,0,,,,,,
14,3,2001,-1108,0,,,,,,
15,3,682,-1092,0,,,,,,
16,1,1011,-1987,0,,,,,,
17,1,2015,-937,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB
Up ID,1,,,,12
Lanes,1,,,,1
Name,1,,,,Ruby Road
Distance,1,,,,490
Speed,1,,,,55
Time,1,,,,6.1
Grade,1,,,,0
Median,1,,,,12
Offset,1,,,,0
TWLTL,1,,,,0
Crosswalk Width,1,,,,16
Mandatory Distance,1,,,,200
Mandatory Distance2,1,,,,2421
Positioning Distance,1,,,,1614
Positioning Distance2,1,,,,3228
Curve Pt X,1,,,,
Curve Pt Y,1,,,,
Curve Pt Z,1,,,,
Link Is Hidden,1,,,,false
Street Name Is Hidden,1,,,,false
Up ID,2,,,14,
Lanes,2,,,*1,
Name,2,,,Ruby Road,
Distance,2,,,406,
Speed,2,,,35,
Time,2,,,7.9,
Grade,2,,,0,
Median,2,,,0,
Offset,2,,,0,
TWLTL,2,,,0,
Crosswalk Width,2,,,16,
Mandatory Distance,2,,,200,
Mandatory Distance2,2,,,1539,
Positioning Distance,2,,,1026,
Positioning Distance2,2,,,2052,
Curve Pt X,2,,,,
Curve Pt Y,2,,,,
Curve Pt Z,2,,,,
Link Is Hidden,2,,,false,
Street Name Is Hidden,2,,,false,
Up ID,3,5,4,15,6
Lanes,3,0,3,3,3
Name,3,I-19 SB On Ramp,I-19 SB Off Ramp, , 
Distance,3,936,1096,191,432
Speed,3,30,75,35,35
Time,3,21.3,10.0,3.7,8.4
Grade,3,0,0,0,0
Median,3,12,12,24,24
Offset,3,0,0,0,0
TWLTL,3,0,0,0,0
Crosswalk Width,3,16,16,16,16
Mandatory Distance,3,541,541,541,541
Mandatory Distance2,3,1320,3300,1539,1539
Positioning Distance,3,880,2200,1026,1026
Positioning Distance2,3,1760,4400,2052,2052
Curve Pt X,3,922,810,,
Curve Pt Y,3,-1443,-741,,
Curve Pt Z,3,0,0,,
Link Is Hidden,3,false,false,false,false
Street Name Is Hidden,3,false,false,false,false
Up ID,4,3,,,
Lanes,4,0,,,
Name,4,I-19 SB Off Ramp,,,
Distance,4,1096,,,
Speed,4,30,,,
Time,4,24.9,,,
Grade,4,0,,,
Median,4,0,,,
Offset,4,0,,,
TWLTL,4,0,,,
Crosswalk Width,4,16,,,
Mandatory Distance,4,200,,,
Mandatory Distance2,4,1320,,,
Positioning Distance,4,880,,,
Positioning Distance2,4,1760,,,
Curve Pt X,4,869,,,
Curve Pt Y,4,-302,,,
Curve Pt Z,4,0,,,
Link Is Hidden,4,false,,,
Street Name Is Hidden,4,false,,,
Up ID,5,,3,,
Lanes,5,,2,,
Name,5,,I-19 SB On Ramp,,
Distance,5,,936,,
Speed,5,,75,,
Time,5,,8.5,,
Grade,5,,0,,
Median,5,,0,,
Offset,5,,0,,
TWLTL,5,,0,,
Crosswalk Width,5,,16,,
Mandatory Distance,5,,200,,
Mandatory Distance2,5,,3300,,
Positioning Distance,5,,2200,,
Positioning Distance2,5,,4400,,
Curve Pt X,5,,1081,,
Curve Pt Y,5,,-1680,,
Curve Pt Z,5,,0,,
Link Is Hidden,5,,false,,
Street Name Is Hidden,5,,false,,
Up ID,6,8,7,3,9
Lanes,6,3,0,3,3
Name,6,I-19 NB Off Ramp,I-19 NB On Ramp, , 
Distance,6,901,1133,432,355
Speed,6,75,30,35,35
Time,6,8.2,25.8,8.4,6.9
Grade,6,0,0,0,0
Median,6,0,0,12,12
Offset,6,0,0,0,0
TWLTL,6,0,0,0,0
Crosswalk Width,6,16,16,16,16
Mandatory Distance,6,541,541,541,541
Mandatory Distance2,6,3300,1320,1539,1539
Positioning Distance,6,2200,880,1026,1026
Positioning Distance2,6,4400,1760,2052,2052
Curve Pt X,6,1278,,,
Curve Pt Y,6,-1381,,,
Curve Pt Z,6,0,,,
Link Is Hidden,6,false,false,false,false
Street Name Is Hidden,6,false,false,false,false
Up ID,7,6,,,
Lanes,7,1,,,
Name,7,I-19 NB On Ramp,,,
Distance,7,1133,,,
Speed,7,75,,,
Time,7,10.3,,,
Grade,7,0,,,
Median,7,0,,,
Offset,7,0,,,
TWLTL,7,0,,,
Crosswalk Width,7,16,,,
Mandatory Distance,7,200,,,
Mandatory Distance2,7,3300,,,
Positioning Distance,7,2200,,,
Positioning Distance2,7,4400,,,
Curve Pt X,7,,,,
Curve Pt Y,7,,,,
Curve Pt Z,7,,,,
Link Is Hidden,7,false,,,
Street Name Is Hidden,7,false,,,
Up ID,8,,6,,
Lanes,8,,0,,
Name,8,,I-19 NB Off Ramp,,
Distance,8,,901,,
Speed,8,,30,,
Time,8,,20.5,,
Grade,8,,0,,
Median,8,,0,,
Offset,8,,0,,
TWLTL,8,,0,,
Crosswalk Width,8,,16,,
Mandatory Distance,8,,200,,
Mandatory Distance2,8,,1320,,
Positioning Distance,8,,880,,
Positioning Distance2,8,,1760,,
Curve Pt X,8,,1281,,
Curve Pt Y,8,,-1699,,
Curve Pt Z,8,,0,,
Link Is Hidden,8,,false,,
Street Name Is Hidden,8,,false,,
Up ID,9,11,10,6,14
Lanes,9,2,3,3,3
Name,9,E Frontage Road,E Frontage Road, , 
Distance,9,975,1238,355,342
Speed,9,50,25,35,35
Time,9,13.3,33.8,6.9,6.7
Grade,9,0,0,0,0
Median,9,12,12,24,24
Offset,9,0,0,0,0
TWLTL,9,0,0,0,0
Crosswalk Width,9,16,16,16,16
Mandatory Distance,9,541,541,541,541
Mandatory Distance2,9,2199,1101,1539,1539
Positioning Distance,9,1466,734,1026,1026
Positioning Distance2,9,2932,1468,2052,2052
Curve Pt X,9,1725,1609,,
Curve Pt Y,9,-1534,-666,,
Curve Pt Z,9,0,0,,
Link Is Hidden,9,false,false,false,false
Street Name Is Hidden,9,false,false,false,false
Up ID,10,9,,,
Lanes,10,*2,,,
Name,10,E Frontage Road,,,
Distance,10,1238,,,
Speed,10,25,,,
Time,10,33.8,,,
Grade,10,0,,,
Median,10,0,,,
Offset,10,0,,,
TWLTL,10,0,,,
Crosswalk Width,10,16,,,
Mandatory Distance,10,200,,,
Mandatory Distance2,10,1101,,,
Positioning Distance,10,734,,,
Positioning Distance2,10,1468,,,
Curve Pt X,10,1189,,,
Curve Pt Y,10,-786,,,
Curve Pt Z,10,0,,,
Link Is Hidden,10,false,,,
Street Name Is Hidden,10,false,,,
Up ID,11,,9,,
Lanes,11,,1,,
Name,11,,E Frontage Road,,
Distance,11,,975,,
Speed,11,,50,,
Time,11,,13.3,,
Grade,11,,0,,
Median,11,,12,,
Offset,11,,0,,
TWLTL,11,,0,,
Crosswalk Width,11,,16,,
Mandatory Distance,11,,200,,
Mandatory Distance2,11,,2199,,
Positioning Distance,11,,1466,,
Positioning Distance2,11,,2932,,
Curve Pt X,11,,1338,,
Curve Pt Y,11,,-1513,,
Curve Pt Z,11,,0,,
Link Is Hidden,11,,false,,
Street Name Is Hidden,11,,false,,
Up ID,12,,13,1,15
Lanes,12,,2,3,1
Name,12,,W Frontage Road,Ruby Road, 
Distance,12,,1120,490,199
Speed,12,,50,55,30
Time,12,,15.3,6.1,4.5
Grade,12,,0,0,0
Median,12,,12,12,12
Offset,12,,0,0,0
TWLTL,12,,0,0,0
Crosswalk Width,12,,16,16,16
Mandatory Distance,12,,200,200,200
Mandatory Distance2,12,,2199,2421,1320
Positioning Distance,12,,1466,1614,880
Positioning Distance2,12,,2932,3228,1760
Curve Pt X,12,,525,,
Curve Pt Y,12,,-769,,
Curve Pt Z,12,,0,,
Link Is Hidden,12,,false,false,false
Street Name Is Hidden,12,,false,false,false
Up ID,13,12,,,
Lanes,13,*1,,,
Name,13,W Frontage Road,,,
Distance,13,1120,,,
Speed,13,50,,,
Time,13,15.3,,,
Grade,13,0,,,
Median,13,0,,,
